symbol,company,identifier,sedol,weight,sector,shares_held,local_currency
BAX,Baxter International Inc.,07181310,2085102,0.001065259174665144,Health Care,5545316,USD
HLT,Hilton Worldwide Holdings Inc,43300A20,BYVMW06,0.0010649991699850597,Consumer Discretionary,3091674,USD
AZO,AutoZone Inc.,05333210,2065955,0.0010574190335426038,Consumer Discretionary,232866,USD
PXD,Pioneer Natural Resources Company,72378710,2690830,0.001037178669216046,Energy,2516899,USD
SBAC,SBA Communications Corp. Class A,78410G10,BZ6TS23,0.0010333486002748048,Real Estate,1215144,USD
EBAY,eBay Inc.,27864210,2293819,0.0010305685502339042,Consumer Discretionary,7075662,USD
DD,DuPont de Nemours Inc.,26614N10,BK0VN47,0.0010272084897528157,Materials,5802188,USD
SLB,Schlumberger NV,80685710,2779201,0.0010269084843527185,Energy,15513987,USD
DOW,Dow Inc.,26055710,BHXCF84,0.0010253084555521999,Materials,8273037,USD
SRE,Sempra Energy,81685110,2138158,0.0010174883147896663,Utilities,3524043,USD
LHX,L3Harris Technologies Inc,50243110,BK9DTN5,0.0010172183099295788,Industrials,2180221,USD
PRU,Prudential Financial Inc.,74432010,2819118,0.0010139282507085126,Financials,4199995,USD
PH,Parker-Hannifin Corporation,70109410,2671501,0.0010053280959057263,Industrials,1431801,USD
YUM,Yum! Brands Inc.,98849810,2098876,0.0010038280689052402,Consumer Discretionary,3278974,USD
STZ,Constellation Brands Inc. Class A,21036P10,2170473,9.992279861037498e-4,Consumer Staples,1825188,USD
SIVB,SVB Financial Group,78486Q10,2808053,9.952479144624603e-4,Financials,650593,USD
ROK,Rockwell Automation Inc.,77390310,2754060,9.944078993421883e-4,Industrials,1287034,USD
PPG,PPG Industries Inc.,69350610,2698470,9.913878449812098e-4,Materials,2633000,USD
O,Realty Income Corporation,75610910,2724193,9.894678104205876e-4,Real Estate,6287844,USD
ROST,Ross Stores Inc.,77829610,2746711,9.875977767599816e-4,Consumer Discretionary,3962051,USD
GIS,General Mills Inc.,37033410,2367026,9.85447738059285e-4,Consumer Staples,6724893,USD
SYY,Sysco Corporation,87182910,2868165,9.757675638161487e-4,Consumer Staples,5675189,USD
EPAM,EPAM Systems Inc.,29414B10,B44Z3T8,9.744575402357243e-4,Information Technology,630261,USD
MPC,Marathon Petroleum Corporation,56585A10,B3K3L40,9.722275000950017e-4,Energy,6839685,USD
GPN,Global Payments Inc.,37940X10,2712013,9.651473726527078e-4,Information Technology,3258163,USD
TRV,Travelers Companies Inc.,89417E10,2769503,9.576772381902875e-4,Financials,2766770,USD
MTD,Mettler-Toledo International Inc.,59268810,2126249,9.525871465686382e-4,Health Care,256621,USD
CTAS,Cintas Corporation,17290810,2197137,9.51737131268363e-4,Industrials,970523,USD
KEYS,Keysight Technologies Inc,49338L10,BQZJ0Q9,9.42576966385395e-4,Information Technology,2043568,USD
RMD,ResMed Inc.,76115210,2732903,9.383468902440244e-4,Health Care,1614114,USD
MTCH,Match Group Inc.,57667L10,BK80XH9,9.352568346230232e-4,Communication Services,3146181,USD
MCK,McKesson Corporation,58155Q10,2378534,9.335068031224562e-4,Health Care,1715294,USD
EA,Electronic Arts Inc.,28551210,2310194,9.31496766941805e-4,Communication Services,3156371,USD
FRC,First Republic Bank,33616C10,B4WHY15,9.160564890168024e-4,Financials,1992196,USD
IFF,International Flavors & Fragrances Inc.,45950610,2464165,9.111764011752212e-4,Materials,2828759,USD
ADM,Archer-Daniels-Midland Company,03948310,2047317,9.094163694946508e-4,Consumer Staples,6205102,USD
OTIS,Otis Worldwide Corporation,68902V10,BK531S8,9.085763543743788e-4,Industrials,4734088,USD
VRSK,Verisk Analytics Inc,92345Y10,B4P9W92,9.027262490724834e-4,Industrials,1789515,USD
WELL,Welltower Inc.,95040Q10,BYVYHH4,9.018262328721917e-4,Real Estate,4837560,USD
FAST,Fastenal Company,31190010,2332262,8.992061857113428e-4,Industrials,6375670,USD
WBA,Walgreens Boots Alliance Inc,93142710,BTN1Y44,8.962061317103709e-4,Consumer Staples,7964017,USD
CBRE,CBRE Group Inc. Class A,12504L10,B6WVMH3,8.905260294685305e-4,Real Estate,3724397,USD
XEL,Xcel Energy Inc.,98389B10,2614807,8.853659365868586e-4,Utilities,5973152,USD
AFL,Aflac Incorporated,00105510,2026361,8.835659041862754e-4,Financials,6843913,USD
ANSS,ANSYS Inc.,03662Q10,2045623,8.811958615255075e-4,Information Technology,966021,USD
EFX,Equifax Inc.,29442910,2319146,8.725857065427178e-4,Industrials,1351316,USD
TWTR,Twitter Inc.,90184L10,BFLR866,8.704456680220244e-4,Communication Services,8851796,USD
MNST,Monster Beverage Corporation,61174X10,BZ07BW4,8.691356444416e-4,Consumer Staples,4133022,USD
AJG,Arthur J. Gallagher & Co.,36357610,2359506,8.662955933206798e-4,Financials,2291299,USD
AMP,Ameriprise Financial Inc.,03076C10,B0J7D57,8.60135482438684e-4,Financials,1261440,USD
BIIB,Biogen Inc.,09062X10,2455965,8.584354518381332e-4,Health Care,1652450,USD
AVB,AvalonBay Communities Inc.,05348410,2131179,8.578954421179581e-4,Real Estate,1548839,USD
DFS,Discover Financial Services,25470910,B1YLC43,8.555353996371935e-4,Financials,3321389,USD
DHI,D.R. Horton Inc.,23331A10,2250687,8.518653335760043e-4,Consumer Discretionary,3615704,USD
CTVA,Corteva Inc,22052L10,BK73B42,8.492952873151718e-4,Materials,8144369,USD
WST,West Pharmaceutical Services Inc.,95530610,2950482,8.479952639147504e-4,Health Care,820538,USD
STT,State Street Corporation,85747710,2842040,8.439051902934254e-4,Financials,4056257,USD
AME,AMETEK Inc.,03110010,2089212,8.268348830278945e-4,Industrials,2564792,USD
NUE,Nucor Corporation,67034610,2651086,8.217047906862324e-4,Materials,3175579,USD
ODFL,Old Dominion Freight Line Inc.,67958010,2656423,8.205747703458663e-4,Industrials,1040264,USD
ALL,Allstate Corporation,02000210,2019952,8.202047636857463e-4,Financials,3185329,USD
AWK,American Water Works Company Inc.,03042010,B2R3PV1,8.200647611657009e-4,Utilities,2013781,USD
ANET,Arista Networks Inc.,04041310,BN33VM5,8.119746155430799e-4,Information Technology,2492790,USD
PEG,Public Service Enterprise Group Inc,74457310,2707677,8.094445700022601e-4,Utilities,5608719,USD
TDG,TransDigm Group Incorporated,89364110,B11FJK3,8.0873455722203e-4,Industrials,581006,USD
ZBRA,Zebra Technologies Corporation Class A,98920710,2989356,7.964643363580545e-4,Information Technology,592170,USD
WMB,Williams Companies Inc.,96945710,2967181,7.851141320543769e-4,Energy,13478084,USD
PSX,Phillips 66,71854610,B78C4Y8,7.844241196341534e-4,Energy,4858146,USD
CPRT,Copart Inc.,21720410,2208073,7.823740827334892e-4,Industrials,2371396,USD
DLTR,Dollar Tree Inc.,25674610,2272476,7.675938166887005e-4,Consumer Discretionary,2498987,USD
LEN,Lennar Corporation Class A,52605710,2511920,7.669338048084866e-4,Consumer Discretionary,3046940,USD
ARE,Alexandria Real Estate Equities Inc.,01527110,2009210,7.651437725879065e-4,Real Estate,1567158,USD
CMI,Cummins Inc.,23102110,2240202,7.638237488274789e-4,Industrials,1592600,USD
KMI,Kinder Morgan Inc Class P,49456B10,B3NQ4P8,7.588136586458556e-4,Energy,21623236,USD
