symbol,company,last.sale.price,market.cap,country,ipo.year,industry
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,24.99,1812523525,United States,NA,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,147.72,1761375759,United States,NA,Industrial Machinery/Components
ALIN^A,Altera Infrastructure L.P. 7.25% Series A,3.68,NA,Bermuda,NA,
ALIN^B,Altera Infrastructure L.P. 8.50% Series B,4.35,NA,Bermuda,NA,
ALIN^E,Altera Infrastructure L.P. 8.875% Series E,4.17,NA,Bermuda,NA,
ALIT,Alight Inc. Class A Common Stock,10.81,4994541619,,2021,EDP Services
ALK,Alaska Air Group Inc. Common Stock,52.14,6533698230,United States,NA,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,117.95,33813439036,United States,NA,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,26.33,NA,United States,NA,
ALL^G,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series G,26.53,NA,United States,NA,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,27.25,NA,United States,NA,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,26.73,NA,United States,NA,
ALLE,Allegion plc Ordinary Shares,132.37,11873041253,United States,2013,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,47.95,16611989800,United States,2014,Diversified Financial Services
ALP^Q,Alabama Power Company 5.00% Class A Preferred Stock Cumulative Par Value $1 Per Share (Stated Capital $25 Per Share),25.72,NA,United States,NA,
ALSN,Allison Transmission Holdings Inc. Common Stock,35.44,3694984040,United States,2012,Auto Parts:O.E.M.
ALTG,Alta Equipment Group Inc. Class A Common Stock,14.42,466679882,,2019,Engineering & Construction
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),28.07,NA,,NA,
ALV,Autoliv Inc. Common Stock,102.26,8945524822,Sweden,NA,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,258.84,1321970944,United States,NA,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,9.64,4603136507,United States,2017,Natural Gas Distribution
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),9.1,318092366,,2021,
AMBC,Ambac Financial Group Inc. Common Stock,16,740866224,United States,NA,Property-Casualty Insurers
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,8.81,5661933704,,NA,
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,27.95,14365203913,,2013,Movies/Entertainment
AMCR,Amcor plc Ordinary Shares,11.95,18321368331,,2019,Miscellaneous manufacturing industries
AME,AMETEK Inc.,147.41,34099642720,United States,NA,Metal Fabrications
AMG,Affiliated Managers Group Inc. Common Stock,165.58,6731044572,United States,NA,Investment Managers
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,43.51,14549553992,,2013,Real Estate Investment Trusts
AMH^F,American Homes 4 Rent 5.875% Series F Cumulative Redeemable Perpetual Preferred Shares,25.98,NA,,NA,
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,25.54,NA,,NA,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,26.84,NA,,NA,
AMK,AssetMark Financial Holdings Inc. Common Stock,24.93,1833614140,United States,2019,Finance/Investors Services
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,122,5767551098,United States,NA,Assisted Living Services
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,20.95,67827881881,Mexico,NA,Telecommunications Equipment
